source	target	notes
吕阳	Lü Yang	protagonist; pinyin with diacritic, never Lu Yang [except: 吕阳抬起头] (owner sometimes drops the look-up beat, Ch. 1210); provenance terminology.tsv
牧长生	Mu Changsheng	alias worn by Lü Yang; scare-quote 'Mu Changsheng' when narration names the persona; provenance terminology.tsv
世尊	World-Honored One	"Dao Lord; usually takes ""the""; ordinary pronouns he/him/his; provenance terminology.tsv"
万宝	Myriad Treasures	World-Honored One alias; no article in direct address; provenance Ch.1266 and later owner finals
剑主	Sword Sovereign	"Dao Lord; usually takes ""the""; ordinary pronouns; provenance terminology.tsv; pronoun words follow chapter-scoped entities.tsv and Reference_Formatting_Rules.md"
剑尊	Sword Sovereign	same being as 剑主; provenance terminology.tsv; pronoun words follow chapter-scoped entities.tsv and Reference_Formatting_Rules.md
初圣	Primordial Saint	Dao Lord; usually takes "the". Use he/him/his where clear; do not abbreviate this title as "the Saint," which can name another figure. Owner Ch.1401 correction; provenance terminology.tsv.
昊天	Vast Sky	Dao Lord; ordinary pronouns; provenance terminology.tsv; pronoun words follow chapter-scoped entities.tsv and Reference_Formatting_Rules.md
苍昊	Vast Sky	alternate name for the same Dao Lord; provenance terminology.tsv; pronoun words follow chapter-scoped entities.tsv and Reference_Formatting_Rules.md
万法	Myriad Spells	the Spell Dao Lord; addressed as Fellow Daoist Myriad Spells; 万法不侵 describes immunity to spells, not this person [except: 万法不侵]; provenance terminology.tsv and Ch.1291 source review
豢妖	Beast-Taming	Dao Lord; 豢妖前辈 = Senior Beast-Taming; provenance terminology.tsv
无名道主	Nameless Dao Lord	capitalized Nameless Dao Lord everywhere; he/him generally; they/them where identity remains open under the 2026-09-16 ruling; earlier owner ruling 2026-08-19; provenance terminology.tsv
司祟	Si Sui	name, pinyin; provenance terminology.tsv
道天齐	Dao Tianqi	name, pinyin; ordinary lowercase pronouns; provenance terminology.tsv
帝苍	Emperor Cang	ordinary lowercase pronouns; provenance terminology.tsv
盘皇	Pan Huang	name, pinyin; provenance terminology.tsv
祖龙	Ancestral Dragon	"he/his/him as the being; ""it"" for the guided-out consciousness; provenance terminology.tsv"
凌霄	Skyward	True Monarch Skyward Eastern Sovereign; previous life: Skyward identity after Ch. 1171; restarted world: Ch. 1365 discards Soaring Firmament and names him Skyward; Ch. 1409-1411 narration returns to Soaring Firmament (21 of 22 uses), with Skyward only in the crowd's paired title shout 凌霄东皇真君 (Ch. 1409); follow the chapter's own source name; source check 2026-09-24; never pinyin "Lingxiao"; provenance terminology.tsv
昂霄	Soaring Firmament	the same being as 凌霄 (Sun Eclipsing True Monarch); previous life: Soaring Firmament identity before Ch. 1171, Skyward after; restarted world: Ch. 1365 discards Soaring Firmament and names him Skyward; Ch. 1409-1411 narration returns to Soaring Firmament (21 of 22 uses), with Skyward only in the crowd's paired title shout 凌霄东皇真君 (Ch. 1409); follow the chapter's own source name; source check 2026-09-24; provenance terminology.tsv
飞雪	Flying Snow	True Monarch Flying Snow; speaks formally, in complete sentences; provenance terminology.tsv
极乐	Sublime Bliss	the Spell Dao Lord's disciple; true body is Taiyi; provenance terminology.tsv
太一	Taiyi	a collective of bodies of consciousness; Sublime Bliss's true body; exclude the ordinary phrase not quite the same [except: 不太一样]; verified Ch.1339 source context; provenance terminology.tsv
黄粱	Yellow Millet	the dream plane; from the Yellow Millet Dream allusion; provenance terminology.tsv
老君庙	Old Lord Temple	as a bare call-out line renders plain: Old Lord Temple.; provenance terminology.tsv
道主	Dao Lord	ordinary pronoun case applies; entity words and reveal timing follow entities.tsv; provenance terminology.tsv
道主大战	war between Dao Lords	stable historical event description; provenance owner-final Ch.1258
真君	True Monarch	title; provenance terminology.tsv
真人	True Person	title; provenance terminology.tsv
道友	Fellow Daoist	honorific; provenance terminology.tsv
本座	This Seat	self-address by seated powers; provenance terminology.tsv
彼岸	Other Shore	usually takes "the"; its numbered strata are "layers", never "tiers"; provenance terminology.tsv
冥府	Underworld	usually takes "the"; provenance terminology.tsv
伪史	False History	usually takes "the"; provenance terminology.tsv
光海	Sea of Light	usually takes "the"; provenance terminology.tsv
变数	Variable|Variables	Use Variables with singular agreement and it/its for the named Great Dao: Variables helps or turns in his favor. Ordinary variable(s) follow the source number. Owner Ch.1402 uses A Variable for Dao Tianqi's bracketed classification, a scoped singular title rather than a renaming of the Great Dao or all ordinary variables. Owner Ch.1306 agreement check; earlier term provenance owner-rulings-ch1221-ch1243.tsv; verified Ch.1310-1318 ordinary or cross-word contexts [except: 变数少|变数多|会不会有变数|多出一个变数]
百世书	Book of a Hundred Lives	normally takes the definite article; provenance owner-rulings-ch1221-ch1243.tsv
天道	Heavenly Dao	usually takes "the"; provenance terminology.tsv
大道	Great Dao	usually takes "the"; provenance terminology.tsv
金刚界	Vajra Realm	usually takes "the"; provenance terminology.tsv
红尘	red dust	lowercase; distinct from 现世 "the mortal world"; provenance terminology.tsv
三界	Three Realms	usually takes "the"; provenance terminology.tsv
道心	Dao Heart	Use the Dao Heart for the definite named Dao when syntax requires it; attributive Dao Heart remains bare. Owner article reminders Ch.1300-1301; provenance terminology.tsv
心斋	Heart Fasting	a Dao Heart tier; provenance terminology.tsv
元神	Primordial Spirit	provenance terminology.tsv
果位	Fruition Attainment	named Dao Fruit Secret Art recipes keep "Dao Fruit"; provenance terminology.tsv
道果	Fruition Attainment|Dao Fruit	General sense "Fruition Attainment"; named recipes and fused products keep "Dao Fruit". Owner Ch.1339 retains Dao Fruit for the Heavenly Calendar Numbers as the fruit cultivated by the Heavenly Palace; preserve the linked tree/root/fruit image. Owner Ch.1408 chooses "Dao Fruit" for Lü Yang holding his own fruit steady (持定道果), a contextual choice, not a global replacement of Fruition Attainment.
真身	true body|true bodies	lowercase; number follows syntax. Ch.1348 confirms the ordinary plural with plural Dao Lords; do not force singular wording to satisfy a lexical checker.
报身	Reward Body	standalone only; 法外报身 is its own entry; provenance terminology.tsv
法外报身	Dharma Transcending Avatar	distinct from standalone 报身; provenance terminology.tsv
应身	Manifestation Body	it/its; a shadow; provenance terminology.tsv
分身	avatar	lowercase; never "clone"; provenance terminology.tsv
真气	true qi	lowercase; provenance terminology.tsv
