source	target	scope	notes
法诀	hand seal; incantation; formula; method	sense	Use hand seal only when a gesture is meant; adapt to the actual technique.
沧海桑田	seas becoming mulberry fields	image	Preserve the classical sea-to-mulberry-field image and inflect it to context.
天理	justice under Heaven; Heavenly principles or order	sense	Use justice under Heaven in rhetorical complaints; choose the metaphysical sense elsewhere.
天下	the world; the realm; under or beneath the heavens	sense	Prefer modern the world or the realm in ordinary narration; retain the heavens for classical or cosmological rhetoric.
独夫	one man standing alone; isolated ruler or tyrant	sense	Preserve the political undertone when loss of collective support matters.
雾里看花	flowers seen through fog	image	Preserve the obscured-view image inside natural English.
大隐隐于市	The true hermit hides in the marketplace.	fixed	Recognized hermit-and-marketplace allusion; do not replace it with hide in plain sight.
又双叒叕	again and again and again	sense	Recreate the escalating repeated-again joke in syntax suited to the sentence.
同气连枝	sharing one qi, branches of the same tree	image	Preserve the qi and branch image and make the sibling-like bond clear when relevant.
捏软柿子	pick on or squeeze the softest persimmon	image	Preserve the weak-target persimmon image; avoid the unnatural bare verb pinch.
证心魔	seek or prove the relevant realm through Heart Demons	sense	Never invent a formal Heart Demon Dao; resolve the cultivation goal from context.
征江北	March on Jiangbei	fixed	Formal title or named campaign wording.
自裁	take one's own life; die by one's own hand	sense	Use suicide or kill oneself only when the surrounding register is blunt.
三化	three avatars	sense	Emperor Cang context; elsewhere verify whether 化 means transformation rather than avatar.
事出反常必有妖	something lies behind the anomaly	sense	Preserve the warning; retain a demon image only if the passage activates it.
设律行法	establish laws or statutes and enforce them	sense	Preserve the paired legal function and adapt grammar.
请宝贝现身	Treasure, please reveal yourself.	fixed	Ritual formula; owner-final Ch.1255.
同道中人	fellow traveler on the Dao; someone who shares the speaker's Dao	sense	Adapt person and possessive to the speaker.
六四开	a sixty-forty split; six-to-four odds	sense	State whose side holds six when context does not make it obvious.
含金量	carry real weight; have real substance	sense	Adapt tense and polarity to the sentence.
第1258章 初代峰主没我得散！	Chapter 1258: Without Me, the First-Generation Peak Lords Would Have Been Finished!	fixed	Exact chapter title; do not reuse its counterfactual tense as a body template.
一叶障目	a single leaf blocking someone's view	image	Preserve the leaf-and-vision image; do not add Mount Tai when the source uses only the clipped half.
第1260章 此生唯一的机会	Chapter 1260: The Only Chance in This Life	fixed	Exact chapter title only.
童叟无欺	honest with young and old alike	image	Preserve both age groups and the sales-pitch force without adding a guarantee.
黔驴技穷	like the Guizhou donkey, out of tricks	image	Preserve the donkey allusion and inflect person, syntax, and tense.
杀手锏	trump card; killer move held in reserve	sense	Choose by tactical or cultivation context.
第1261章 化神飞升，再启！	Chapter 1261: Divine Transformation and Ascension Begins Again!	fixed	Exact chapter title; body narration must inflect separately.
