source	target	notes
听幽祖师	the Nether Whisper Ancestor	the article is part of the fixed rendering; owner correction Ch. 1221
龙君	Dragon Monarch	named individual Dragon Monarch titles normally take "the" in running prose; owner final Ch. 1222
荡魔真人	Demon-Purging True Person	bare proper title in normal narration; never "the Demon-Purging True Person"; owner final Ch. 1222
不涸川	Never-Drying River	owner correction Ch. 1221
东流尊	Lord of the Eastern Flow	established reference rendering; owner confirmation Ch. 1223
天地根	Foundation of Heaven and Earth	established reference rendering; owner confirmation Ch. 1223
资同饮	Shared Nourishment	established reference rendering; owner correction Ch. 1223
涧下水	Valley Water	established reference rendering
皆斩剑意	All-Slaying Sword Intent	established reference rendering
至人	Perfected Person	Ch. 1223 sword intent and chapter title
阳湖龙君	Yanghu Dragon Monarch	use "the Yanghu Dragon Monarch" in normal running prose; owner correction Ch. 1223
阴阳旁门	unorthodox path to Yin and Yang	exact owner correction Ch. 1226
万众一心	the One Mind	owner correction Ch. 1225; never "Myriad Hearts as One"
修真道主	Cultivating Truth Dao Lord	identity revealed Ch. 1227; Dao Lord pronouns apply
定数	Destiny	owner correction Ch. 1228; uploaded glossary also locks this rendering and explicitly rejects "Fixed Outcome"
化神飞升	Divine Transformation and Ascension	established reference rendering
宝光萤煌菩萨	Treasure Light Gleaming Radiance Bodhisattva	established reference rendering
碧落扶光真君	True Monarch Azure Firmament	established identity of the Ancestral Dragon
丹鼎	Alchemy Cauldron	person/title; bare form where the source uses the identity
龙虎山	Dragon-Tiger Mountain	established reference rendering
元婴丹	Nascent Soul Pill	established rendering
天心锁	Heavenly Heart Lock	established rendering
司祟残念	Si Sui's Remnant Consciousness	capitalization follows the uploaded glossary
提线木偶	Marionette	established talent and control method
虚瞑	Fathomless Void	established cosmological rendering
混沌	Primordial Chaos	established rendering; capitalize
圣人	Saint	owner correction Ch. 1231; use Saint, never Sage, for Si Sui and the Sea of Light epithet
遍历红尘法	Traversing the Mortal Dust	established reference rendering; Si Sui's good-and-evil Primordial Spirit method
真我	True Self	owner correction Ch. 1232; capitalize both words everywhere, overriding the uploaded glossary's older "true Self" form
变数	Variable|Variables	use singular for one individual Variable and plural for multiple Variables or the class/general concept; owner clarification Ch. 1234; supersedes any absolute always-plural rule
天书	the Heavenly Book	locked uploaded glossary; article normally included
百世书	the Book of a Hundred Lives	locked uploaded glossary; article normally included
祖龙别院	the Ancestral Dragon's Detached Court	locked uploaded glossary
